
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::                (v3.2.4)

2024-03-25T22:32:44.691+03:00  INFO 23628 --- [severstal] [           main] r.m.severstal.SeverstalApplication       : Starting SeverstalApplication using Java 22 with PID 23628 (D:\repos\hackathon\severstal\target\classes started by rE in D:\repos\hackathon\severstal)
2024-03-25T22:32:44.692+03:00 DEBUG 23628 --- [severstal] [           main] r.m.severstal.SeverstalApplication       : Running with Spring Boot v3.2.4, Spring v6.1.5
2024-03-25T22:32:44.693+03:00  INFO 23628 --- [severstal] [           main] r.m.severstal.SeverstalApplication       : No active profile set, falling back to 1 default profile: "default"
2024-03-25T22:32:45.373+03:00  INFO 23628 --- [severstal] [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 8080 (http)
2024-03-25T22:32:45.382+03:00  INFO 23628 --- [severstal] [           main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2024-03-25T22:32:45.382+03:00  INFO 23628 --- [severstal] [           main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-03-25T22:32:45.420+03:00  INFO 23628 --- [severstal] [           main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2024-03-25T22:32:45.420+03:00  INFO 23628 --- [severstal] [           main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 689 ms
2024-03-25T22:32:45.600+03:00  INFO 23628 --- [severstal] [           main] dataServiceGRPC                          : Connecting to 26.29.18.232:8080
2024-03-25T22:32:45.824+03:00  INFO 23628 --- [severstal] [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 8080 (http) with context path ''
2024-03-25T22:32:45.829+03:00  INFO 23628 --- [severstal] [           main] r.m.severstal.SeverstalApplication       : Started SeverstalApplication in 1.436 seconds (process running for 1.888)
2024-03-25T22:32:46.915+03:00  INFO 23628 --- [severstal] [nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-03-25T22:32:46.916+03:00  INFO 23628 --- [severstal] [nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2024-03-25T22:32:46.917+03:00  INFO 23628 --- [severstal] [nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 1 ms
2024-03-25T22:32:46.949+03:00  INFO 23628 --- [severstal] [nio-8080-exec-1] r.m.s.controllers.ParserController       : /parse with query: query=Труба, start_date=null, end_date=null, exclude=null, include_archive=true
2024-03-25T22:32:46.950+03:00  INFO 23628 --- [severstal] [nio-8080-exec-1] r.m.s.controllers.ParserController       : /parse 200 OK
2024-03-25T22:32:48.726+03:00  INFO 23628 --- [severstal] [pool-3-thread-1] TenderProParser                          : Parse session started with 482 pages
